ticker,name,sector,price,day_chg,pe_ttm,pb,ps_ttm,ev_ebitda,earn_yld,book_yld,sales_yld,ebitda_yld,roe,gross_margin,asset_turnover,gp_assets,op_margin_ttm,op_margin_5y,margin_ratio,margin_stability,debt_equity,current_ratio,rev_growth,eps_growth,w52_high,w52_low,w52_pos,mom_12_1,mean_target,upside_pct,analyst_score,analyst_score_3m_ago,revision_3m,buy_ratio,strong_buy,buy,hold,sell,strong_sell,total_recs,sue,pead_decay,last_report,has_earnings,score_value_raw,cyc_guard,score_value,score_momentum,score_quality,score_sentiment,score_catalyst,weighted_mean,worst_lens,score_composite,rank,score_value_pct,score_momentum_pct,score_quality_pct,score_sentiment_pct,score_catalyst_pct,score_composite_pct,as_of,version,universe,in_top_n
CVX,Chevron Corp,Energy,211.78,0.35,18.9191,1.7386,1.8665,8.1761,0.05285663694361782,0.5751754285056943,0.5357621216180016,0.12230770171597706,10.979999999999999,43.65,0.6372,0.2781378,13.22,12.75,1.0368627450980392,-0.03619956281910508,0.1953,1.2522,11.17,34.62,214.71,146.49,0.9570507182644384,31.251099999999997,221.029818,4.4,0.7583333333333333,0.7416666666666667,0.016666666666666607,0.8333333333333334,7,18,4,1,0,30,2.813694710521799,0.0,2026-06-30,False,0.8612273845708497,1.0,0.8612273845708497,0.6733333333333333,0.5529041177422888,0.6071543624161073,0.5459476972922934,0.6518344418757979,0.5459476972922934,0.630657092959097,1,0.9466666666666667,0.6733333333333333,0.62,0.7066666666666667,0.86,1.0,2026-09-03,v2,SPY Top 150,True
BMY,Bristol-Myers Squibb Co,Healthcare,67.66,1.11,14.2108,5.2719,2.682,11.0297,0.07036901511526444,0.18968493332574596,0.37285607755406414,0.09066429730636373,46.760000000000005,71.66,0.5449,0.39047534000000006,25.51,13.6,1.8757352941176473,-0.6290007394117139,1.932,1.5316,3.11,99.29,68.64,42.52,0.962480857580398,41.1698,67.63405800000001,-0.0,0.6428571428571429,0.6285714285714286,0.014285714285714346,0.42857142857142855,7,8,18,2,0,35,4.637284440412436,0.0,2026-06-30,False,0.7718150238818932,0.7996863974911799,0.6172099759776801,0.74,0.5303270291117904,0.4747181208053691,0.6558204119416802,0.580717288680283,0.4747181208053691,0.5595174551053003,2,0.6666666666666666,0.74,0.5666666666666667,0.44666666666666666,0.9866666666666667,0.9933333333333333,2026-09-03,v2,SPY Top 150,True
GOOG,Alphabet Inc,Comm Services,333.78,0.53,17.3095,6.7585,9.4805,27.263,0.05777174384008781,0.14796182584893097,0.10547966879383999,0.03667974911051608,50.839999999999996,60.9,0.6467,0.39384030000000003,33.11,29.71,1.1144395826321103,-0.10835166208463853,0.1533,2.724,20.05,115.31,408.61,224.79,0.5929169840060927,46.8116,425.65558799999997,27.5,0.7964285714285714,0.782608695652174,0.013819875776397428,0.9,20,43,7,0,0,70,-0.5336987384061047,0.0,2026-06-30,False,0.4819981183962947,1.0,0.4819981183962947,0.8166666666666667,0.7560679394147168,0.847758389261745,0.24759777829206203,0.6356779226863137,0.24759777829206203,0.5580618938074634,3,0.5033333333333333,0.8166666666666667,0.95,0.9466666666666667,0.31,0.9866666666666667,2026-09-03,v2,SPY Top 150,True
GOOGL,Alphabet Inc,Comm Services,337.12,0.63,17.3095,6.7585,9.4805,27.263,0.05777174384008781,0.14796182584893097,0.10547966879383999,0.03667974911051608,50.839999999999996,60.9,0.6467,0.39384030000000003,33.11,29.71,1.1144395826321103,-0.10835166208463853,0.1533,2.724,20.05,115.31,408.61,224.79,0.6110869328691111,46.8116,429.654804,27.4,0.7964285714285714,0.782608695652174,0.013819875776397428,0.9,20,43,7,0,0,70,-0.5336987384061047,0.0,2026-06-30,False,0.4819981183962947,1.0,0.4819981183962947,0.8166666666666667,0.7560679394147168,0.845758389261745,0.24759777829206203,0.6352779226863137,0.24759777829206203,0.5577418938074633,4,0.5033333333333333,0.8166666666666667,0.95,0.94,0.31,0.98,2026-09-03,v2,SPY Top 150,True
FDX,FedEx Corp,Industrials,316.54,-2.57,17.6043,2.5521,0.8239,9.2044,0.05680430349403271,0.3918341757768113,1.213739531496541,0.10864369214723393,15.110000000000001,62.11,1.0205,0.6338325499999999,5.76,6.03,0.9552238805970148,-0.04580953603129434,0.8125,1.4754,7.73,9.81,404.03,221.31,0.5211799474605956,43.7892,358.529286,13.3,0.7214285714285714,0.7121212121212122,0.009307359307359264,0.6857142857142857,9,15,9,2,0,35,0.41769222888554963,0.0,2025-09-30,True,0.8692915038355767,1.0,0.8692915038355767,0.7933333333333333,0.6567282471026292,0.5804697986577181,0.20733163619532516,0.6408683885838586,0.20733163619532516,0.554161038106152,5,0.9666666666666667,0.7933333333333333,0.7866666666666666,0.64,0.20666666666666667,0.9733333333333334,2026-09-03,v2,SPY Top 150,True
LMT,Lockheed Martin Corp,Industrials,531.55,-2.38,21.9978,13.2024,1.7958,14.3006,0.04545909136368182,0.07574380415681997,0.5568548836173293,0.0699271359243668,86.24000000000001,11.8,1.274,0.15033200000000002,11.88,10.83,1.0969529085872576,-0.09253625292159959,2.3424,1.1929,7.2,52.8,692.0,437.25,0.3701668302257113,23.657899999999998,649.009578,22.1,0.6607142857142857,0.6339285714285714,0.0267857142857143,0.4642857142857143,6,7,14,1,0,28,1.291007267838419,0.0,2026-06-30,False,0.6499536836011001,1.0,0.6499536836011001,0.5733333333333334,0.47613819767829424,0.723503355704698,0.4331913908817403,0.5723425933102974,0.4331913908817403,0.544512352824586,6,0.7066666666666667,0.5733333333333334,0.4866666666666667,0.8466666666666667,0.6866666666666666,0.9666666666666667,2026-09-03,v2,SPY Top 150,True
COP,ConocoPhillips,Energy,137.2,0.74,16.3233,1.9381,2.3919,6.454,0.061262122242438724,0.5159692482328053,0.4180776788327271,0.1549426712116517,14.32,46.31,0.5156,0.23877436,22.51,25.7,0.8758754863813231,-0.1325313369825331,0.3564,1.5415,9.6,1.31,137.37,85.57,0.9967181467181464,41.4001,148.314222,8.1,0.7419354838709677,0.7419354838709677,0.0,0.7419354838709677,7,16,8,0,0,31,3.2455704051692447,0.0,2026-06-30,False,0.8604725720075264,1.0,0.8604725720075264,0.7466666666666667,0.46915735317925134,0.3885369127516779,0.4730710483684332,0.5792000554279243,0.3885369127516779,0.5410674268926751,7,0.94,0.7466666666666667,0.4666666666666667,0.3,0.74,0.96,2026-09-03,v2,SPY Top 150,True
MU,Micron Technology Inc,Technology,956.08,2.43,21.5314,10.34,12.0374,15.6385,0.04644379835960504,0.09671179883945842,0.08307441806370146,0.06394475173450138,70.55,72.57,0.8929,0.6479775299999999,65.63,9.66,6.79399585921325,-1.9160392602612046,0.0568,3.4245,166.98,700.71,1255.0,117.3,0.7372593829656324,705.5998999999999,1474.5329100000001,54.2,0.8017241379310345,0.8035714285714286,-0.001847290640394128,0.9137931034482759,18,35,4,1,0,58,4.226455705090022,0.0,2026-06-30,True,0.47139528151686205,0.5,0.23569764075843103,0.9933333333333333,0.7325549381481586,0.6476778523489932,0.6650636426753067,0.6073193418384834,0.23569764075843103,0.5329950016224729,8,0.20666666666666667,0.9933333333333333,0.9266666666666666,0.7466666666666667,1.0,0.9533333333333334,2026-09-03,v2,SPY Top 150,True
USB,US Bancorp,Financials,62.77,2.55,12.3543,1.3955,2.0972,,0.08094347716989227,0.7165890361877464,0.4768262445164982,,12.479999999999999,,,,25.22268,35.30532,0.7144158444109839,-0.33629007103899267,1.4238,,84.11849,18.72,66.075,45.02,0.8430301591071004,27.383599999999998,70.914276,13.0,0.6944444444444444,0.6574074074074074,0.03703703703703698,0.5925925925925926,6,10,10,1,0,27,2.558705280264017,0.0,2026-06-30,True,0.8253401360544218,1.0,0.8253401360544218,0.6066666666666667,0.3525057471264368,0.6590067114093959,0.4810784540615598,0.5767165352093164,0.3525057471264368,0.5318743775927406,9,0.9066666666666666,0.6066666666666667,0.18666666666666668,0.7533333333333333,0.7666666666666667,0.9466666666666667,2026-09-03,v2,SPY Top 150,True
UNH,UnitedHealth Group Inc,Healthcare,399.66,0.85,25.6264,3.6115,0.804,15.76,0.039022258296132116,0.27689325764917627,1.243781094527363,0.06345177664974619,14.399999999999999,,1.4436,,4.74,7.2,0.6583333333333333,-0.41804389031502454,0.7016,0.7385,6.46,-32.66,461.62,255.97,0.6987114028689522,27.1781,482.64207,20.8,0.7573529411764706,0.7426470588235294,0.014705882352941124,0.7941176470588235,8,19,7,0,0,34,4.925330526420075,0.0,2026-06-30,False,0.7136604429005644,1.0,0.7136604429005644,0.6,0.3600477578112352,0.7433892617449666,0.4909002545707012,0.5687423286031101,0.3600477578112352,0.5270034144447352,10,0.8,0.6,0.20666666666666667,0.88,0.7933333333333333,0.94,2026-09-03,v2,SPY Top 150,True
BAC,Bank of America Corp,Financials,62.6,0.98,13.2926,1.3281,2.32875,,0.07522982712185727,0.7529553497477599,0.4294149221685454,,11.129999999999999,,,,32.73721,33.47932,0.9778337791807001,-0.022415583330081108,2.4313,,99.36713,25.82,65.225,46.12,0.862601413242607,23.9844,68.922828,10.1,0.75,0.75,0.0,0.7931034482758621,6,17,6,0,0,29,2.1898905017103685,0.0,2026-06-30,True,0.8105102040816327,1.0,0.8105102040816327,0.58,0.44640229885057475,0.4219328859060403,0.4683962045822726,0.5491942485441296,0.4219328859060403,0.5237419760165117,11,0.8866666666666667,0.58,0.4066666666666667,0.3466666666666667,0.7266666666666667,0.9333333333333333,2026-09-03,v2,SPY Top 150,False
APH,Amphenol Corp,Technology,160.08,-1.9,40.4386,14.0021,7.1693,24.2828,0.024728848179709485,0.07141785874975896,0.13948363159583224,0.04118141235771822,37.14,38.95,0.772,0.300694,27.03,21.28,1.2702067669172932,-0.23917969581491255,1.2143,1.8878,54.17,59.37,178.52,108.68,0.7359679266895762,43.6551,201.169194,25.7,0.782608695652174,0.7604166666666666,0.022192028985507317,0.8695652173913043,6,14,3,0,0,23,3.6960051513555747,0.0,2026-06-30,False,0.29844622955565203,1.0,0.29844622955565203,0.7866666666666666,0.5349744879010371,0.8693087248322148,0.6132052765563527,0.5796131068757867,0.29844622955565203,0.5233797314117599,12,0.26666666666666666,0.7866666666666666,0.5866666666666667,0.9666666666666667,0.94,0.9266666666666666,2026-09-03,v2,SPY Top 150,False
NVDA,NVIDIA Corp,Technology,224.41,3.21,33.9758,26.9275,21.3932,32.7357,0.029432713872815357,0.03713675610435429,0.046743825140698914,0.030547689525502738,111.66,74.15,1.32,0.9787800000000001,64.02,45.98,1.3923444976076556,-0.33098901520668156,0.0433,3.4408,70.68,110.34,236.54,164.07,0.8326203946460605,29.881999999999998,319.559574,42.4,0.8188405797101449,0.8152173913043478,0.0036231884057971175,0.9420289855072463,24,41,3,1,0,69,3.676278564427623,0.0,2026-09-30,False,0.1839680127370097,1.0,0.1839680127370097,0.64,0.8166563913569314,0.7960805369127517,0.621666280953483,0.6074549701169045,0.1839680127370097,0.5227575786409255,13,0.12,0.64,1.0,0.9133333333333333,0.9533333333333334,0.92,2026-09-03,v2,SPY Top 150,False
