ticker,name,sector,price,day_chg,pe_ttm,pb,ps_ttm,ev_ebitda,earn_yld,book_yld,sales_yld,ebitda_yld,roe,gross_margin,asset_turnover,gp_assets,op_margin_ttm,op_margin_5y,margin_ratio,margin_stability,debt_equity,current_ratio,rev_growth,eps_growth,w52_high,w52_low,w52_pos,stale_ref,mom_12_1,mean_target,upside_pct,analyst_score,analyst_score_3m_ago,revision_3m,buy_ratio,strong_buy,buy,hold,sell,strong_sell,total_recs,sue,pead_decay,last_report,has_earnings,score_value_raw,cyc_guard,score_value,score_momentum,score_quality,score_sentiment,score_catalyst,weighted_mean,worst_lens,score_composite,rank,score_value_pct,score_momentum_pct,score_quality_pct,score_sentiment_pct,score_catalyst_pct,score_composite_pct,as_of,version,universe,in_top_n
CVX,Chevron Corp,Energy,211.32,-0.22,20.4078,1.7386,2.0134,8.7756,0.04900087221552543,0.5751754285056943,0.4966722956193504,0.11395232234832944,10.979999999999999,43.65,0.6372,0.2781378,13.22,12.75,1.0368627450980392,-0.03619956281910508,0.1953,1.2522,11.17,34.62,214.71,146.49,0.9503078276165345,False,31.251099999999997,221.029818,4.6,0.7583333333333333,0.7416666666666667,0.016666666666666607,0.8333333333333334,7,18,4,1,0,30,2.813694710521799,0.0,2026-06-30,False,0.8293511596703087,1.0,0.8293511596703087,0.6733333333333333,0.5536083430944014,0.6184563758389262,0.5459476972922934,0.6463370559408602,0.5459476972922934,0.6262591842111469,1,0.9133333333333333,0.6733333333333333,0.6266666666666667,0.7133333333333334,0.86,1.0,2026-09-04,v2,SPY Top 150,True
BMY,Bristol-Myers Squibb Co,Healthcare,68.09,0.64,14.8654,5.2719,2.8056,11.4327,0.06727030554172778,0.18968493332574596,0.35642999714856,0.08746840203976314,46.760000000000005,71.66,0.5449,0.39047534000000006,25.51,13.6,1.8757352941176473,-0.6290007394117139,1.932,1.5316,3.11,99.29,68.64,42.52,0.9789433384379786,False,41.1698,67.63405800000001,-0.7,0.6428571428571429,0.6285714285714286,0.014285714285714346,0.42857142857142855,7,8,18,2,0,35,4.637284440412436,0.0,2026-06-30,False,0.7633419589802569,0.7996863974911799,0.6104341812307816,0.74,0.5289477187669628,0.47181208053691276,0.6544411015968525,0.5778214422846947,0.47181208053691276,0.5566195699351384,2,0.68,0.74,0.5666666666666667,0.44,0.98,0.9933333333333333,2026-09-04,v2,SPY Top 150,True
GOOGL,Alphabet Inc,Comm Services,342.48,1.59,17.1642,6.7585,9.401,27.0365,0.05826079863902774,0.14796182584893097,0.10637166258908627,0.036987036043866627,50.839999999999996,60.9,0.6467,0.39384030000000003,33.11,29.71,1.1144395826321103,-0.10835166208463853,0.1533,2.724,20.05,115.31,408.61,224.79,0.6402458927211403,False,46.8116,429.654804,25.5,0.7964285714285714,0.782608695652174,0.013819875776397428,0.9,20,43,7,0,0,70,-0.5336987384061047,0.0,2026-06-30,False,0.4762310714970289,1.0,0.4762310714970289,0.8166666666666667,0.754515201078003,0.8422818791946308,0.24759777829206203,0.6326750374470602,0.24759777829206203,0.5556595856160605,3,0.5033333333333333,0.8166666666666667,0.95,0.95,0.31,0.9833333333333333,2026-09-04,v2,SPY Top 150,True
GOOG,Alphabet Inc,Comm Services,339.08,1.59,17.1642,6.7585,9.401,27.0365,0.05826079863902774,0.14796182584893097,0.10637166258908627,0.036987036043866627,50.839999999999996,60.9,0.6467,0.39384030000000003,33.11,29.71,1.1144395826321103,-0.10835166208463853,0.1533,2.724,20.05,115.31,408.61,224.79,0.6217495375911216,False,46.8116,425.65558799999997,25.5,0.7964285714285714,0.782608695652174,0.013819875776397428,0.9,20,43,7,0,0,70,-0.5336987384061047,0.0,2026-06-30,False,0.4762310714970289,1.0,0.4762310714970289,0.8166666666666667,0.754515201078003,0.8422818791946308,0.24759777829206203,0.6326750374470602,0.24759777829206203,0.5556595856160605,4,0.5033333333333333,0.8166666666666667,0.95,0.95,0.31,0.9833333333333333,2026-09-04,v2,SPY Top 150,True
LMT,Lockheed Martin Corp,Industrials,532.95,0.26,19.4827,13.2024,1.5905,12.8421,0.05132758806530922,0.07574380415681997,0.6287331027978623,0.07786888437249359,86.24000000000001,11.8,1.274,0.15033200000000002,11.88,10.83,1.0969529085872576,-0.09253625292159959,2.3424,1.1929,7.2,52.8,692.0,437.25,0.37566241413150164,False,23.657899999999998,649.009578,21.8,0.6607142857142857,0.6339285714285714,0.0267857142857143,0.4642857142857143,6,7,14,1,0,28,1.291007267838419,0.0,2026-06-30,True,0.6901245926777841,1.0,0.6901245926777841,0.5733333333333334,0.47613819767829424,0.7268456375838926,0.4318120805369128,0.5828468804035831,0.4318120805369128,0.5526399204302491,5,0.7666666666666667,0.5733333333333334,0.47333333333333333,0.8466666666666667,0.6866666666666666,0.9733333333333334,2026-09-04,v2,SPY Top 150,True
FDX,FedEx Corp,Industrials,324.31,2.45,17.1291,2.5521,0.8017,8.9901,0.05838018343053634,0.3918341757768113,1.2473493825620556,0.11123346792582953,15.110000000000001,62.11,1.0205,0.6338325499999999,5.76,6.03,0.9552238805970148,-0.04580953603129434,0.8125,1.4754,7.73,9.81,404.03,221.31,0.5637040280210158,False,43.7892,358.529286,10.6,0.7214285714285714,0.7121212121212122,0.009307359307359264,0.6857142857142857,9,15,9,2,0,35,0.41769222888554963,0.0,2025-09-30,True,0.8714701935978533,1.0,0.8714701935978533,0.7933333333333333,0.6567282471026292,0.5651006711409395,0.20733163619532516,0.6383392355210721,0.20733163619532516,0.5521377156559227,6,0.9666666666666667,0.7933333333333333,0.8,0.5866666666666667,0.20666666666666667,0.9666666666666667,2026-09-04,v2,SPY Top 150,True
NVDA,NVIDIA Corp,Technology,228.45,1.8,28.0398,20.768,17.8509,26.9418,0.03566359246499618,0.048151001540832045,0.05601958444672257,0.037117044889354085,110.11,74.67,1.2788,0.95487996,65.17,45.98,1.4173553719008265,-0.34879272100925357,0.1457,4.5889,83.38,125.15,236.54,164.07,0.8883676003863668,False,29.881999999999998,319.559574,39.9,0.8188405797101449,0.8152173913043478,0.0036231884057971175,0.9420289855072463,24,41,3,1,0,69,3.676278564427623,0.0,2026-09-30,False,0.24788575809852406,1.0,0.24788575809852406,0.64,0.804304159643459,0.7919463087248322,0.6285628326776209,0.6199363740642783,0.24788575809852406,0.5455262508711274,7,0.21333333333333335,0.64,1.0,0.9066666666666666,0.9533333333333334,0.96,2026-09-04,v2,SPY Top 150,True
COP,ConocoPhillips,Energy,135.72,-1.08,17.6952,1.9381,2.5929,6.9425,0.05651250056512501,0.5159692482328053,0.3856685564425932,0.14404033129276198,14.32,46.31,0.5156,0.23877436,22.51,25.7,0.8758754863813231,-0.1325313369825331,0.3564,1.5415,9.6,1.31,137.37,85.57,0.968146718146718,False,41.4001,148.314222,9.3,0.7419354838709677,0.7419354838709677,0.0,0.7419354838709677,7,16,8,0,0,31,3.2455704051692447,0.0,2026-06-30,False,0.8395735096798926,1.0,0.8395735096798926,0.7466666666666667,0.47127128150920394,0.40805369127516783,0.4730710483684332,0.5785128240496995,0.40805369127516783,0.5444209974947931,8,0.9266666666666666,0.7466666666666667,0.4666666666666667,0.32666666666666666,0.74,0.9533333333333334,2026-09-04,v2,SPY Top 150,True
MU,Micron Technology Inc,Technology,958.16,0.22,21.1794,10.34,11.8406,15.3783,0.04721569071833952,0.09671179883945842,0.08445517963616708,0.06502669345766438,70.55,72.57,0.8929,0.6479775299999999,65.63,9.66,6.79399585921325,-1.9160392602612046,0.0568,3.4245,166.98,700.71,1255.0,117.3,0.7390876329436582,False,705.5998999999999,1474.5329100000001,53.9,0.8017241379310345,0.8035714285714286,-0.001847290640394128,0.9137931034482759,18,35,4,1,0,58,4.226455705090022,0.0,2026-06-30,True,0.4660542457350968,0.5,0.2330271228675484,0.9933333333333333,0.7345549381481586,0.6456375838926174,0.6650636426753067,0.6068436586744875,0.2330271228675484,0.5320803515130997,9,0.18666666666666668,0.9933333333333333,0.9266666666666666,0.7533333333333333,0.9933333333333333,0.9466666666666667,2026-09-04,v2,SPY Top 150,True
USB,US Bancorp,Financials,63.53,1.21,12.1123,1.3955,2.0972,,0.08256070275670187,0.7165890361877464,0.4768262445164982,,12.479999999999999,,,,25.22268,35.30532,0.7144158444109839,-0.33629007103899267,1.4238,,84.11849,18.72,66.075,45.02,0.8791260983139396,False,27.383599999999998,70.914276,11.6,0.6944444444444444,0.6574074074074074,0.03703703703703698,0.5925925925925926,6,10,10,1,0,27,2.558705280264017,0.0,2026-06-30,True,0.8274774774774775,1.0,0.8274774774774775,0.6066666666666667,0.35279310344827586,0.6536912751677852,0.48245776440638743,0.576480886765034,0.35279310344827586,0.5317433301016823,10,0.9066666666666666,0.6066666666666667,0.18,0.7666666666666667,0.7666666666666667,0.94,2026-09-04,v2,SPY Top 150,True
UNH,UnitedHealth Group Inc,Healthcare,400.94,0.32,25.3713,3.6115,0.796,15.6194,0.03941461415063477,0.27689325764917627,1.2562814070351758,0.06402294582378325,14.399999999999999,,1.4436,,4.74,7.2,0.6583333333333333,-0.41804389031502454,0.7016,0.7385,6.46,-32.66,461.62,255.97,0.7049355701434475,False,27.1781,482.64207,20.4,0.7573529411764706,0.7426470588235294,0.014705882352941124,0.7941176470588235,8,19,7,0,0,34,4.925330526420075,0.0,2026-06-30,False,0.7146808510638297,1.0,0.7146808510638297,0.6,0.35795580378824665,0.7546979865771812,0.49227956491552877,0.5708384859551969,0.35795580378824665,0.5282619495218069,11,0.8,0.6,0.18666666666666668,0.88,0.8,0.9333333333333333,2026-09-04,v2,SPY Top 150,False
