ticker,name,sector,price,day_chg,pe_ttm,pb,ps_ttm,ev_ebitda,earn_yld,book_yld,sales_yld,ebitda_yld,roe,gross_margin,asset_turnover,gp_assets,op_margin_ttm,op_margin_5y,margin_ratio,margin_stability,debt_equity,current_ratio,rev_growth,eps_growth,w52_high,w52_low,w52_pos,stale_ref,mom_12_1,mean_target,upside_pct,analyst_score,analyst_score_3m_ago,revision_3m,buy_ratio,strong_buy,buy,hold,sell,strong_sell,total_recs,sue,pead_decay,last_report,has_earnings,score_value_raw,cyc_guard,score_value,score_momentum,score_quality,score_sentiment,score_catalyst,score_value_uni,score_quality_uni,weighted_mean,worst_lens,score_composite,rank,score_value_pct,score_momentum_pct,score_quality_pct,score_sentiment_pct,score_catalyst_pct,score_composite_pct,as_of,version,universe,in_top_n
NVDA,NVIDIA Corp,Technology,223.67,-0.91,28.0747,20.768,17.8732,26.9753,0.03561925862075107,0.048151001540832045,0.055949690038717186,0.03707095009137989,110.11,74.67,1.2788,0.95487996,65.17,45.98,1.4173553719008265,-0.34879272100925357,0.1457,4.5889,83.38,125.15,236.54,164.27,0.8219178082191779,False,31.8735,319.559574,42.9,0.8188405797101449,0.8152173913043478,0.0036231884057971175,0.9420289855072463,24,41,3,1,0,69,3.676278564427623,0.0,2026-09-30,False,0.24099482461184588,1.0,0.6176470588235294,0.6533333333333333,1.0,0.7935873862278202,0.6285628326776209,0.24099482461184588,0.804304159643459,0.772747000186423,0.6176470588235294,0.7417270119138443,1,0.6066666666666667,0.6533333333333333,0.9733333333333334,0.9133333333333333,0.9533333333333334,1.0,2026-09-10,v2,SPY Top 150,True
MU,Micron Technology Inc,Technology,1027.77,2.75,22.8884,10.34,12.7961,16.642,0.043690253578231766,0.09671179883945842,0.07814881096584116,0.06008893161879582,70.55,72.57,0.8929,0.6479775299999999,65.63,9.66,6.79399585921325,-1.9160392602612046,0.0568,3.4245,166.98,700.71,1255.0,128.4,0.798304633410261,False,656.5536,1474.5329100000001,43.5,0.8017241379310345,0.8035714285714286,-0.001847290640394128,0.9137931034482759,18,35,4,1,0,58,4.226455705090022,0.0,2026-06-30,True,0.4225455242476519,0.5,0.5588235294117647,0.9933333333333333,0.7941176470588235,0.6352394961846097,0.6650636426753067,0.21127276212382595,0.7345549381481586,0.7040819554421395,0.5588235294117647,0.6750302702360645,2,0.5533333333333333,0.9933333333333333,0.7666666666666667,0.7333333333333333,0.9933333333333333,0.9933333333333333,2026-09-10,v2,SPY Top 150,True
FDX,FedEx Corp,Industrials,309.19,-1.57,16.6315,2.5521,0.7784,8.7656,0.06012686769082765,0.3918341757768113,1.2846865364850977,0.11408232180341335,15.110000000000001,62.11,1.0205,0.6338325499999999,5.76,6.03,0.9552238805970148,-0.04580953603129434,0.8125,1.4754,7.73,9.81,345.37,178.94,0.7826113080574415,False,77.3088,358.529286,16.0,0.7214285714285714,0.7121212121212122,0.009307359307359264,0.6857142857142857,9,15,9,2,0,35,0.41769222888554963,0.0,2025-09-30,True,0.878000766724171,1.0,1.0,0.9066666666666666,1.0,0.5999218534522386,0.20733163619532516,0.878000766724171,0.6553489367578017,0.7917507827864132,0.20733163619532516,0.6748669534681957,3,0.9733333333333334,0.9066666666666666,0.9733333333333334,0.6733333333333333,0.20666666666666667,0.9866666666666667,2026-09-10,v2,SPY Top 150,True
CVX,Chevron Corp,Energy,213.81,1.91,20.4299,1.7386,2.0156,8.7845,0.04894786562831928,0.5751754285056943,0.4961301845604286,0.11383687176276397,10.979999999999999,43.65,0.6372,0.2781378,13.22,12.75,1.0368627450980392,-0.03619956281910508,0.1953,1.2522,11.17,34.62,214.71,146.49,0.9868073878627968,False,34.4583,221.029818,3.4,0.7583333333333333,0.7416666666666667,0.016666666666666607,0.8333333333333334,7,18,4,1,0,30,2.813694710521799,0.0,2026-06-30,False,0.8190147594402915,1.0,0.6666666666666666,0.6866666666666666,0.8333333333333334,0.587537924059943,0.5459476972922934,0.8190147594402915,0.5522290327495738,0.684733072739166,0.5459476972922934,0.6569759976497914,4,0.6566666666666666,0.6866666666666666,0.8133333333333334,0.64,0.86,0.98,2026-09-10,v2,SPY Top 150,True
AMAT,Applied Materials Inc,Technology,468.85,-0.83,40.1984,16.0073,12.0802,38.4801,0.024876612004457888,0.06247149737932068,0.08278008642241023,0.0259874584525508,40.44,49.4,0.7819,0.3862586,29.64,29.33,1.0105693828844187,-0.010513917438526452,0.2554,2.423,7.77,38.36,739.67,161.75,0.5313884274640089,False,188.61419999999998,648.610146,38.3,0.7833333333333333,0.7833333333333333,0.0,0.8666666666666667,12,27,6,0,0,45,0.9000104539017862,0.0,2026-09-30,False,0.18895533831704045,1.0,0.47058823529411764,0.9533333333333334,0.9705882352941176,0.6681299990806289,0.3609719972228651,0.18895533831704045,0.7839558561647096,0.6919286621446537,0.3609719972228651,0.625737329160296,5,0.4533333333333333,0.9533333333333334,0.94,0.8066666666666666,0.52,0.9733333333333334,2026-09-10,v2,SPY Top 150,True
UNP,Union Pacific Corp,Industrials,284.74,-1.29,23.1227,7.8116,6.6702,15.6262,0.043247544620654166,0.12801474729888881,0.14992054211268027,0.06399508517745837,38.65,78.25,0.364,0.28482999999999997,40.03,40.23,0.9950285856326125,-0.0049838129572145375,1.467,0.9859,4.17,7.27,315.99,210.84,0.7028055159296244,False,36.831500000000005,332.281116,16.7,0.7419354838709677,0.7327586206896551,0.009176863181312611,0.6774193548387096,9,12,10,0,0,31,1.739336906013676,0.0,2026-06-30,True,0.49997508146444325,1.0,0.6,0.7133333333333334,0.92,0.6250022984278754,0.38361953251562136,0.49997508146444325,0.6031758039787066,0.6798767228962517,0.38361953251562136,0.6206252848201257,6,0.5933333333333334,0.7133333333333334,0.9066666666666666,0.72,0.5866666666666667,0.9666666666666667,2026-09-10,v2,SPY Top 150,True
SNDK,Sandisk Corp,Technology,1764.17,1.51,22.2837,16.422,12.5824,19.9399,0.0448758509583238,0.060893922786505905,0.07947609359104782,0.05015070286210061,93.13,71.47,1.2398,0.88608506,61.19,2.86,21.395104895104897,-3.063162152642688,0.0,2.2899,175.3,,2354.39,67.86,0.7418708698333284,False,2354.4758,2073.938154,17.6,0.7954545454545454,0.7916666666666666,0.0037878787878787845,0.8484848484848485,11,17,5,0,0,33,1.2648324250882537,0.0,2026-06-30,False,0.3796961855472494,0.5,0.5,1.0,0.8235294117647058,0.6483014618001287,0.35838926174496644,0.1898480927736247,0.7465923682731956,0.6554775051511824,0.35838926174496644,0.5960598564699392,7,0.49333333333333335,1.0,0.8066666666666666,0.7533333333333333,0.5133333333333333,0.96,2026-09-10,v2,SPY Top 150,True
APH,Amphenol Corp,Technology,81.34,-0.51,39.2472,14.0021,6.958,23.6128,0.025479524653988055,0.07141785874975896,0.14371945961483185,0.04234991191218322,37.14,38.95,0.772,0.300694,27.03,21.28,1.2702067669172932,-0.23917969581491255,1.2143,1.8878,54.17,59.37,89.26,39.41,0.841123370110331,False,44.800200000000004,201.169194,147.3,0.782608695652174,0.7604166666666666,0.022192028985507317,0.8695652173913043,6,14,3,0,0,23,3.694949898643713,0.0,2026-06-30,False,0.292270461951313,1.0,0.6764705882352942,0.7866666666666666,0.38235294117647056,0.9463087248322147,0.6132052765563527,0.292270461951313,0.5315492005447151,0.6437327325283273,0.38235294117647056,0.591456774257956,8,0.6666666666666666,0.7866666666666666,0.37333333333333335,1.0,0.94,0.9533333333333334,2026-09-10,v2,SPY Top 150,True
CSCO,Cisco Systems Inc,Technology,109.43,0.24,32.5196,8.9802,6.8131,27.8649,0.03075068574029201,0.11135609451905303,0.1467760637595221,0.0358874426249511,27.389999999999997,64.52,0.5069,0.32705188,24.27,24.23,1.001650846058605,-0.001649484910075718,0.5873,0.9311,11.77,30.78,130.3656,66.13,0.6740810391745389,False,64.4274,137.325966,25.5,0.7214285714285714,0.7196969696969697,0.0017316017316016952,0.6857142857142857,7,17,11,0,0,35,2.407220913859974,0.0,2026-09-30,False,0.3243070730304773,1.0,0.7352941176470589,0.8733333333333333,0.5,0.6035648616346418,0.49069196945151583,0.3243070730304773,0.6380720890590329,0.6154736304897537,0.49069196945151583,0.5905172982821062,9,0.7266666666666667,0.8733333333333333,0.4866666666666667,0.68,0.7866666666666666,0.9466666666666667,2026-09-10,v2,SPY Top 150,True
EOG,EOG Resources Inc,Energy,147.01,1.14,11.2351,2.1685,2.8643,5.8371,0.08900677341545692,0.4611482591653217,0.349125440770869,0.17131794898151478,22.38,79.47,0.5085,0.40410494999999996,33.02,34.76,0.9499424626006906,-0.051353861905209186,0.2487,1.8514,18.67,24.77,153.67,101.59,0.8721198156682028,False,23.277,161.221608,9.7,0.6597222222222222,0.6666666666666666,-0.00694444444444442,0.4722222222222222,6,11,19,0,0,36,0.586965717530179,0.0,2026-06-30,False,0.8821401188422464,1.0,1.0,0.58,1.0,0.19243357543440287,0.2830502198565147,0.8821401188422464,0.6977935891209325,0.6889442480653578,0.19243357543440287,0.5896421135391668,10,0.9733333333333334,0.58,0.9733333333333334,0.09333333333333334,0.36666666666666664,0.94,2026-09-10,v2,SPY Top 150,True
