ticker,name,sector,price,day_chg,pe_ttm,pb,ps_ttm,ev_ebitda,earn_yld,book_yld,sales_yld,ebitda_yld,roe,gross_margin,asset_turnover,gp_assets,op_margin_ttm,op_margin_5y,margin_ratio,margin_stability,debt_equity,current_ratio,rev_growth,eps_growth,w52_high,w52_low,w52_pos,stale_ref,mom_12_1,mean_target,upside_pct,analyst_score,analyst_score_3m_ago,revision_3m,buy_ratio,strong_buy,buy,hold,sell,strong_sell,total_recs,sue,pead_decay,last_report,days_since_report,has_earnings,score_value_raw,cyc_guard,score_value,score_momentum,score_quality,score_sentiment,score_catalyst,score_value_uni,score_quality_uni,weighted_mean,worst_lens,score_composite,rank,score_value_pct,score_momentum_pct,score_quality_pct,score_sentiment_pct,score_catalyst_pct,score_composite_pct,as_of,version,universe,in_top_n
FDX,FedEx Corp,Industrials,312.57,0.19,16.6726,2.5521,0.7803,8.7841,0.05997864760145388,0.3918341757768113,1.2815583749839805,0.11384205553215468,15.110000000000001,62.11,1.0205,0.6338325499999999,5.76,6.03,0.9552238805970148,-0.04580953603129434,0.8125,1.4754,7.73,9.81,345.37,179.15,0.8026711587053302,False,73.9171,361.55583,15.7,0.7214285714285714,0.7121212121212122,0.009307359307359264,0.6857142857142857,9,15,9,2,0,35,0.41769222888554963,0.0,,,True,0.8650636426031072,1.0,1.0,0.9361702127659575,1.0,0.5781879194630872,0.22118470965859352,0.8650636426031072,0.6568236031241051,0.7924323116180022,0.22118470965859352,0.6781827912261205,1,0.9733333333333334,0.96,0.98,0.62,0.15333333333333332,1.0,2026-09-15,v2,SPY Top 150,True
BMY,BMY,Healthcare,64.1,0.72,14.1668,5.2719,2.6737,11.0026,0.0705875709405088,0.18968493332574596,0.37401353929012227,0.090887608383473,46.760000000000005,71.66,0.5449,0.39047534000000006,25.51,13.6,1.8757352941176473,-0.6290007394117139,1.932,1.5316,3.11,99.29,68.64,42.52,0.8261868300153137,False,38.611,67.846524,5.8,0.6428571428571429,0.6285714285714286,0.014285714285714346,0.42857142857142855,7,8,18,2,0,35,4.637284440412436,0.21666666666666667,2026-07-30,47.0,True,0.7626645660447995,0.7996863974911799,0.8095238095238095,0.7978723404255319,0.7619047619047619,0.49093959731543624,0.7197709366793114,0.6098924793145397,0.528558752985002,0.7168931749599181,0.49093959731543624,0.6717024594310218,2,0.82,0.8733333333333333,0.7733333333333333,0.5,0.9733333333333334,0.9933333333333333,2026-09-15,v2,SPY Top 150,True
NVDA,NVIDIA Corp,Technology,210.96,-3.36,26.2005,20.768,16.68,25.1781,0.03816721054941699,0.048151001540832045,0.05995203836930456,0.0397170556952272,110.11,74.67,1.2788,0.95487996,65.17,45.98,1.4173553719008265,-0.34879272100925357,0.1457,4.5889,83.38,125.15,236.54,164.27,0.6460495364604955,False,24.3371,329.3376,56.1,0.8188405797101449,0.8152173913043478,0.0036231884057971175,0.9420289855072463,24,41,3,1,0,69,3.676278564427623,0.6666666666666667,2026-08-26,20.0,False,0.25461252885755287,1.0,0.3235294117647059,0.6702127659574468,1.0,0.8050335570469798,0.8309016632623285,0.25461252885755287,0.8059010437327435,0.7335455904356664,0.3235294117647059,0.6515423547014743,3,0.30666666666666664,0.7933333333333333,0.98,0.9133333333333333,0.9933333333333333,0.9866666666666667,2026-09-15,v2,SPY Top 150,True
COP,COP,Energy,136.67,-0.5,18.0084,1.9381,2.6388,7.054,0.0555296417227516,0.5159692482328053,0.378960133393967,0.14176353841791892,14.32,46.31,0.5156,0.23877436,22.51,25.7,0.8758754863813231,-0.1325313369825331,0.3564,1.5415,9.6,1.31,138.89,85.57,0.9583645911477869,False,42.247,148.42448399999998,8.6,0.7419354838709677,0.7419354838709677,0.0,0.7419354838709677,7,16,8,0,0,31,3.2455704051692447,0.33333333333333337,2026-08-06,40.0,False,0.810519747925376,1.0,1.0,0.851063829787234,0.6666666666666666,0.3899328859060403,0.5848701488182083,0.810519747925376,0.46094257762318963,0.7008234824826627,0.3899328859060403,0.6386453631673382,4,0.9733333333333334,0.9066666666666666,0.66,0.32,0.8133333333333334,0.98,2026-09-15,v2,SPY Top 150,True
CMI,Cummins Inc,Industrials,541.1,-2.81,27.1709,7.6606,2.1254,18.3123,0.03680408083648315,0.13053807795734015,0.4704996706502306,0.05460810493493444,21.89,25.66,1.0082,0.25870412,11.22,10.75,1.0437209302325583,-0.0427921455208786,0.599,1.7272,2.93,-7.98,737.76,400.72,0.41650842629954904,False,36.8078,767.649348,41.9,0.7142857142857143,0.7053571428571429,0.008928571428571397,0.6785714285714286,5,14,9,0,0,28,-0.8749581576565397,0.30000000000000004,2026-08-04,42.0,False,0.5413325949959443,1.0,0.88,0.776595744680851,0.92,0.7278523489932887,0.17511817916545083,0.5413325949959443,0.5584357012817449,0.7454977711415605,0.17511817916545083,0.6314218527463386,5,0.8666666666666667,0.86,0.92,0.84,0.08666666666666667,0.9733333333333334,2026-09-15,v2,SPY Top 150,True
MDT,MDT,Healthcare,93.8,3.12,,,,,,,,,,,,,,,,,,,,,,,,False,,107.18792400000001,14.3,0.7426470588235294,0.7094594594594594,0.03318759936407001,0.6764705882352942,10,13,11,0,0,34,3.771075492872469,0.7666666666666666,2026-09-01,14.0,False,0.5,1.0,0.5952380952380952,0.5,0.5476190476190477,0.6906040268456376,0.7796644295302013,0.5,0.5,0.6181657078938958,0.5,0.5945325663151166,6,0.5433333333333333,0.5,0.51,0.8,0.9866666666666667,0.9666666666666667,2026-09-15,v2,SPY Top 150,True
CVX,CVX,Energy,212.17,-0.88,,,,,,,,,,,,,,,,,,,,,,,,False,,225.202536,6.1,0.7583333333333333,0.7416666666666667,0.016666666666666607,0.8333333333333334,7,18,4,1,0,30,2.813694710521799,0.23333333333333328,2026-07-31,46.0,True,0.5,1.0,0.4166666666666667,0.5,0.9166666666666666,0.6114093959731544,0.5793959731543624,0.5,0.5,0.6383579418344519,0.4166666666666667,0.5940196868008949,7,0.38333333333333336,0.5,0.91,0.7066666666666667,0.8066666666666666,0.96,2026-09-15,v2,SPY Top 150,True
LOW,LOW,Cons Discretionary,198.17,0.69,16.623,316.2831,1.2211,11.6146,0.0601576129459183,0.003161724417144008,0.8189337482597657,0.08609853115905843,264.53000000000003,33.08,1.6561,0.5478378799999999,11.38,12.14,0.9373970345963757,-0.06464835693316727,52.2337,1.1046,8.16,-2.74,293.06,195.06,0.03173469387755087,False,-23.8965,257.46646200000004,29.9,0.7317073170731707,0.7317073170731707,0.0,0.6829268292682927,11,17,12,1,0,41,6.563798534130623,0.55,2026-08-19,27.0,False,0.6525254258438884,1.0,1.0,0.07446808510638298,0.8,0.566778523489933,0.6972293551210972,0.6525254258438884,0.7138044360611897,0.7153869164767894,0.07446808510638298,0.5872031502027081,8,0.9733333333333334,0.04666666666666667,0.8033333333333333,0.5933333333333334,0.9666666666666667,0.9533333333333334,2026-09-15,v2,SPY Top 150,True
APH,APH,Technology,78.55,-6.4,38.214,14.0021,6.7749,23.0317,0.026168419950803372,0.07141785874975896,0.14760365466648956,0.04341841896169193,37.14,38.95,0.772,0.300694,27.03,21.28,1.2702067669172932,-0.23917969581491255,1.2143,1.8878,54.17,59.37,89.26,39.41,0.7851554663991974,False,34.6462,100.76457599999999,28.3,0.782608695652174,0.7604166666666666,0.022192028985507317,0.8695652173913043,6,14,3,0,0,23,3.694949898643713,0.19999999999999996,2026-07-29,48.0,True,0.27934111187371313,1.0,0.38235294117647056,0.7446808510638298,0.5882352941176471,0.8758389261744967,0.6737000291800409,0.27934111187371313,0.5134139229166721,0.6227496982477002,0.38235294117647056,0.5746703468334543,9,0.36666666666666664,0.84,0.6133333333333333,0.9733333333333334,0.9466666666666667,0.9466666666666667,2026-09-15,v2,SPY Top 150,True
TJX,TJX Companies Inc,Cons Discretionary,125.99,-0.02,22.8616,16.3356,2.2241,14.6814,0.043741470413269416,0.0612159945150469,0.44962007103997126,0.06811339518029616,59.77,32.0,1.7296,0.5534720000000001,12.69,10.47,1.2120343839541545,-0.19230025684385063,0.2696,1.1474,7.66,23.31,170.0,124.87,0.02481719477066232,False,-4.624199999999999,172.67529000000002,37.1,0.7592592592592593,0.8076923076923077,-0.04843304843304841,0.7777777777777778,8,13,5,1,0,27,0.41155072386631114,0.55,2026-08-19,27.0,False,0.5700427403756162,1.0,0.8,0.30851063829787234,0.9,0.387248322147651,0.4186037350452291,0.5700427403756162,0.7267613811003721,0.6410912885161018,0.30851063829787234,0.5745751584724559,10,0.8133333333333334,0.19333333333333333,0.8866666666666667,0.31333333333333335,0.5,0.94,2026-09-15,v2,SPY Top 150,True
